,title,description,originallink,link,pubDate
0,"'토트넘 VS 울버햄튼' 손흥민-황희찬, 22-23 시즌 첫 골 신고 누가 먼저?",토트넘 공식 SNS 22-23 프리미어리그(PL) 3라운드에서 <b>손흥민</b>의 토트넘과 황희찬의 울버햄튼이 맞붙는다. 지난 시즌 리그와 리그컵에서 각각 한차례씩 만났던 <b>손흥민</b>과 황희찬이 처음으로 선발 맞대결을 치르게 될지... ,https://www.gukjenews.com/news/articleView.html?idxno=2531299,https://www.gukjenews.com/news/articleView.html?idxno=2531299,"Thu, 18 Aug 2022 10:20:00 +0900"
1,첫 골은 내가 먼저!…손흥민 vs 황희찬 '주말 코리안 더비',"20일 저녁 토트넘-울버햄프턴 EPL 맞대결 &apos;시즌 마수걸이 득점은 내가 먼저!&apos; <b>손흥민</b>(30·토트넘)과 황희찬(26... EPL 무대를 누비는 두 한국인 공격수, 토트넘 <b>손흥민</b>과 울버햄프턴 황희찬이 맞대결을 펼칠 전망이어서 한국... ",https://www.yna.co.kr/view/AKR20220818052300007?input=1195m,https://sports.news.naver.com/news.nhn?oid=001&aid=0013382354,"Thu, 18 Aug 2022 10:20:00 +0900"
2,"잘 있어, 손흥민…'절친' EPL 생존 실패 ",한때 <b>손흥민</b>과 &apos;DESK&apos; 라인으로 최고의 활약을 했지만 한순간에 추락했다. 에버턴도 합의를 끝냈기에 사실상 방출이다. 델레 알리를 위한 자리가 없다. &apos;파브리지오 로마노&apos;가 &quot;모든 건 델레 알리에게 달렸다&quot;고 알렸지만... ,https://www.spotvnews.co.kr/news/articleView.html?idxno=543465,https://sports.news.naver.com/news.nhn?oid=477&aid=0000376848,"Thu, 18 Aug 2022 10:18:00 +0900"
3,손흥민 향한 인종차별 행위 또 나왔다…첼시 구단 조사 착수,토트넘 <b>손흥민</b>(30)이 또 인종차별 피해를 당했다는 현지 언론 보도가 나왔다. 18일 스포츠 매체 디애슬래틱에 따르면 첼시는 토트넘과 잉글랜드 프리미어리그 경기 중 <b>손흥민</b>을 향한 인종차별이 이뤄졌을 가능성을... ,https://hankookilbo.com/News/Read/A2022081810110004464?did=NA,https://sports.news.naver.com/news.nhn?oid=469&aid=0000692188,"Thu, 18 Aug 2022 10:18:00 +0900"
4,"'손흥민 백업' 브리안 힐, 대체자 영입되어야 떠난다",힐은 지난해 여름 <b>손흥민</b>의 백업으로 토트넘 유니폼을 입었다. 하지만 극심한 적응기를 보냈고 부진이 길어지면서 겨울 이적시장을 통해 발렌시아로 임대를 떠났다. 힐은 윙어가 부족했던 발렌시아에 합류하자마자... ,http://www.interfootball.co.kr/news/articleView.html?idxno=579759,https://sports.news.naver.com/news.nhn?oid=413&aid=0000144820,"Thu, 18 Aug 2022 10:11:00 +0900"
5,"손흥민, EPL 경기 중 또 인종차별?…조사 착수한 첼시", <b>손흥민</b>이 잉글랜드 프리미어리그(EPL) 경기 중 또 다시 인종차별 행위로 피해를 입었다. 영국 &apos;디애슬래틱... 공격수 <b>손흥민</b>(30)을 향한 인종차별적 행위를 인지하고 조사 중이다. 매체는 지난 15일 영국 런던에서 펼쳐진... ,http://www.starnewsk.com/news/articleView.html?idxno=32663,http://www.starnewsk.com/news/articleView.html?idxno=32663,"Thu, 18 Aug 2022 10:06:00 +0900"
6,또 인종차별 당했다…손흥민 앞에서 눈 찢은 첼시팬,잉글랜드 프로축구(EPL) 첼시가 토트넘전 <b>손흥민</b>을 향한 인종차별 가능성을 인지하고 조사에 착수했다. 영국 스포츠 매체 디애슬래틱은 17일 &quot;지난 14일 첼시와 토트넘의 맞대결에서 <b>손흥민</b>이 코너킥을 차러 이동하던 중... ,http://news.tvchosun.com/site/data/html_dir/2022/08/18/2022081890064.html,https://sports.news.naver.com/news.nhn?oid=448&aid=0000370428,"Thu, 18 Aug 2022 10:04:00 +0900"
7,"은돔벨레, 김민재 동료된다···나폴리행 임박",파비안 루이스가 프랑스 리그1의 파리 생제르맹(PSG)으로 이적을 앞두고 있어 중원의 공백을 메울 자원이 필요했다. 이로써 은돔벨레는 <b>손흥민</b>에 이어 또 한 명의 한국 대표팀 선수인 김민재와 한솥밥을 먹게 됐다.,http://sports.khan.co.kr/news/sk_index.html?art_id=202208180951003&sec_id=520401&pt=nv,https://sports.news.naver.com/news.nhn?oid=144&aid=0000831634,"Thu, 18 Aug 2022 09:52:00 +0900"
8,"'혐오의 눈찢는 제스쳐 등장' 손흥민, 첼시전 인종차별 당해",<b>손흥민</b>이 첼시와의 경기를 치르는 도중 인종차별을 당했다. 토트넘 훗스퍼는 15일(이하 한국시간) 영국... 선발 출장한 <b>손흥민</b>은 후반 34분 교체되기 전까지 경기장 곳곳을 누비면서 최선을 다하는 경기를 보여줬다. 이번... ,http://www.interfootball.co.kr/news/articleView.html?idxno=579769,https://sports.news.naver.com/news.nhn?oid=413&aid=0000144819,"Thu, 18 Aug 2022 09:46:00 +0900"
9,"첼시, 손흥민 상대 인종차별 행위 조사 착수",잉글랜드 프리미어리그(EPL) 경기 중 관중석에서 <b>손흥민</b>(30)에게 인종차별 행위를 한 정황이 포착 돼 조사에... 무)에서 <b>손흥민</b>을 향한 인종차별 사례를 인지하고 조사 중이라고 보도했다. 매체에 따르면 경기 후반전... ,https://sports.donga.com/article/all/20220818/115008640/2,https://sports.news.naver.com/news.nhn?oid=382&aid=0000998711,"Thu, 18 Aug 2022 09:40:00 +0900"
